#	f1	f2
0.527	0.381
0.557	0.373
0.518	0.353
0.545	0.391
0.519	0.353
0.512	0.381
0.532	0.366
0.537	0.400
0.550	0.393
0.541	0.353
0.508	0.404
0.512	0.356
0.540	0.355
0.531	0.364
0.535	0.380
0.551	0.389
0.542	0.394
0.532	0.383
0.502	0.377
0.532	0.362
0.521	0.395
0.549	0.376
0.508	0.378
0.536	0.359
0.540	0.392
0.522	0.355
0.542	0.408
0.502	0.375
0.536	0.391
0.535	0.398
0.538	0.405
0.553	0.383
0.618	0.313
0.622	0.342
0.618	0.330
0.623	0.362
0.611	0.325
0.613	0.366
0.610	0.360
0.603	0.335
0.598	0.334
0.597	0.332
0.603	0.364
0.592	0.322
0.608	0.332
0.593	0.354
0.592	0.364
0.623	0.341
0.615	0.357
0.616	0.368
0.601	0.317
0.609	0.370
0.624	0.276
0.624	0.282
0.615	0.271
0.613	0.302
0.604	0.277
0.596	0.269
0.603	0.294
0.603	0.312
0.602	0.308
0.596	0.309
0.624	0.285
0.614	0.290
0.602	0.298
0.624	0.281
0.558	0.438
0.533	0.442
0.528	0.453
0.524	0.450
0.524	0.442
0.534	0.440
0.524	0.447
0.512	0.438
0.557	0.439
0.547	0.442
0.535	0.465
0.520	0.443
0.512	0.452
0.617	0.453
0.611	0.450
0.609	0.467
0.605	0.447
0.596	0.450
0.579	0.473
0.564	0.444
0.602	0.463
0.583	0.452
0.611	0.459
0.579	0.456
0.621	0.385
0.618	0.379
0.620	0.402
0.610	0.381
0.607	0.426
0.601	0.376
0.604	0.404
0.604	0.411
0.598	0.391
0.592	0.382
0.584	0.422
0.622	0.413
0.610	0.403
0.603	0.436
0.590	0.418
0.696	0.341
0.693	0.436
