#	f1	f2
0.648	0.827
0.641	0.816
0.636	0.831
0.655	0.848
0.672	0.830
0.669	0.820
0.670	0.818
0.637	0.828
0.628	0.840
0.670	0.837
0.646	0.833
0.630	0.836
0.657	0.808
0.636	0.807
0.660	0.848
0.627	0.838
0.653	0.812
0.665	0.835
0.645	0.810
0.649	0.818
0.668	0.832
0.647	0.845
0.629	0.828
0.626	0.836
0.630	0.808
0.666	0.823
0.644	0.845
0.638	0.838
0.642	0.847
0.635	0.818
0.614	0.839
0.616	0.826
0.625	0.845
0.631	0.807
0.635	0.852
0.628	0.807
0.630	0.855
0.664	0.803
0.670	0.795
0.686	0.816
0.675	0.807
0.681	0.834
0.672	0.844
0.686	0.821
0.662	0.796
0.691	0.811
0.681	0.800
0.690	0.819
0.672	0.812
0.673	0.818
0.680	0.800
0.672	0.812
0.665	0.794
0.675	0.794
0.620	0.852
0.615	0.861
0.607	0.846
0.636	0.863
0.653	0.794
0.666	0.792
0.665	0.786
0.669	0.790
0.637	0.799
0.638	0.791
0.658	0.786
0.621	0.810
0.628	0.789
0.614	0.813
0.633	0.799
0.680	0.845
0.673	0.849
0.654	0.853
0.658	0.851
0.650	0.867
0.663	0.864
0.607	0.821
0.629	0.867
0.662	0.773
0.664	0.775
0.654	0.777
0.657	0.775
0.680	0.790
0.708	0.820
0.709	0.813
0.703	0.832
0.701	0.812
0.702	0.800
0.710	0.818
0.703	0.820
0.704	0.820
0.706	0.828
0.646	0.780
0.702	0.792
0.688	0.776
0.680	0.771
0.673	0.763
0.728	0.812
0.716	0.807
0.718	0.805
0.730	0.821
0.717	0.820
0.711	0.838
0.722	0.802
0.703	0.842
0.730	0.810
0.723	0.832
0.710	0.845
0.717	0.813
0.720	0.792
0.718	0.793
0.729	0.801
0.723	0.795
0.711	0.789
0.705	0.789
0.732	0.832
0.699	0.850
0.722	0.846
0.703	0.851
0.716	0.846
0.697	0.852
0.741	0.809
0.744	0.827
0.749	0.799
0.737	0.812
0.746	0.813
0.730	0.790
0.746	0.818
0.734	0.830
0.749	0.802
0.718	0.785
0.720	0.777
0.726	0.859
0.699	0.858
0.724	0.856
0.719	0.868
0.724	0.846
0.712	0.861
0.696	0.855
0.697	0.864
0.700	0.859
0.688	0.855
0.719	0.769
0.708	0.773
0.735	0.779
0.723	0.768
0.716	0.770
0.701	0.777
0.717	0.776
0.729	0.770
0.698	0.776
0.718	0.765
0.696	0.774
0.696	0.771
0.718	0.762
0.720	0.763
0.733	0.770
0.714	0.761
0.705	0.760
0.718	0.758
0.743	0.769
0.699	0.755
0.718	0.744
0.713	0.749
0.722	0.745
0.739	0.755
0.695	0.754
0.700	0.749
0.744	0.762
0.734	0.748
0.738	0.750
0.746	0.775
0.749	0.761
0.749	0.779
0.729	0.743
0.727	0.739
0.724	0.738
0.756	0.776
0.754	0.778
0.692	0.749
0.691	0.750
0.697	0.747
0.683	0.754
0.682	0.752
0.730	0.736
0.688	0.734
0.681	0.744
0.676	0.744
0.668	0.751
0.672	0.739
0.669	0.753
0.662	0.751
0.662	0.758
0.663	0.750
0.659	0.756
0.648	0.735
0.646	0.752
0.645	0.741
0.656	0.734
0.658	0.737
0.644	0.751
0.650	0.752
0.645	0.734
0.639	0.768
0.638	0.760
0.604	0.761
0.609	0.741
0.590	0.739
0.598	0.746
0.620	0.744
0.585	0.753
0.601	0.769
0.585	0.772
0.611	0.770
0.618	0.765
0.612	0.749
0.595	0.750
0.607	0.751
0.607	0.761
0.597	0.741
0.581	0.759
0.600	0.754
0.605	0.742
0.585	0.777
0.625	0.756
0.585	0.767
0.587	0.743
0.618	0.775
0.604	0.778
0.621	0.771
0.607	0.784
0.610	0.741
0.588	0.780
0.619	0.761
0.594	0.744
0.622	0.762
0.568	0.753
0.576	0.748
0.574	0.772
0.569	0.752
0.571	0.742
0.578	0.768
0.596	0.735
0.573	0.751
0.566	0.760
0.577	0.741
0.576	0.766
0.633	0.751
0.629	0.766
0.629	0.769
0.608	0.788
0.624	0.780
0.632	0.772
0.550	0.743
0.553	0.750
0.548	0.739
0.552	0.770
0.568	0.779
0.546	0.762
0.560	0.737
0.563	0.771
0.560	0.739
0.552	0.751
0.555	0.753
0.560	0.739
0.554	0.740
0.569	0.776
0.553	0.765
0.553	0.734
0.571	0.784
0.585	0.795
0.582	0.795
0.557	0.781
0.548	0.736
0.542	0.765
0.527	0.737
0.536	0.743
0.537	0.736
0.541	0.740
0.537	0.761
0.533	0.739
0.529	0.733
0.543	0.728
0.536	0.749
0.526	0.756
0.515	0.757
0.517	0.758
0.512	0.753
0.580	0.855
0.577	0.854
0.595	0.863
0.562	0.870
0.592	0.870
0.577	0.859
0.593	0.863
0.581	0.855
0.591	0.859
0.593	0.866
0.588	0.859
0.597	0.854
0.585	0.863
0.566	0.870
0.585	0.847
0.572	0.861
0.597	0.852
0.605	0.870
0.592	0.825
0.769	0.858
0.772	0.865
0.755	0.846
0.757	0.844
0.767	0.878
0.787	0.856
0.748	0.848
0.774	0.872
0.772	0.846
0.779	0.874
0.777	0.881
0.779	0.888
0.741	0.856
0.737	0.852
0.744	0.850
0.753	0.838
0.781	0.905
0.810	0.917
0.824	0.943
0.824	0.933
0.808	0.917
0.799	0.947
0.830	0.910
0.804	0.899
0.794	0.908
0.821	0.908
0.828	0.911
0.792	0.944
0.746	0.677
0.748	0.685
0.756	0.717
0.765	0.731
0.751	0.685
0.773	0.717
0.750	0.704
0.650	0.685
0.740	0.926
0.780	0.917
0.780	0.912
0.600	0.692
0.632	0.695
0.591	0.721
0.859	0.799
0.852	0.836
0.850	0.805
0.862	0.812
0.619	0.900
0.619	0.919
0.716	0.897
0.687	0.897
0.690	0.943
0.659	0.941
0.676	0.931
0.665	0.902
0.809	0.755
0.793	0.750
0.841	0.886
0.841	0.871
0.810	0.840
0.804	0.792
0.901	0.841
0.536	0.836
0.529	0.847
0.525	0.859
0.549	0.821
0.540	0.816
0.534	0.831
0.552	0.826
0.528	0.817
0.549	0.847
0.559	0.832
0.521	0.840
0.521	0.816
0.537	0.829
0.545	0.817
0.539	0.813
0.518	0.851
0.544	0.852
0.529	0.844
0.532	0.846
0.523	0.851
0.539	0.821
0.547	0.841
0.559	0.839
0.549	0.832
0.550	0.836
0.541	0.841
0.555	0.832
0.552	0.844
0.535	0.850
0.526	0.857
0.541	0.827
0.548	0.825
0.527	0.839
0.517	0.858
0.529	0.865
0.508	0.859
0.510	0.855
0.548	0.805
0.537	0.805
0.570	0.831
0.531	0.803
0.563	0.813
0.557	0.821
0.536	0.809
0.557	0.818
0.563	0.814
0.565	0.829
0.563	0.806
0.562	0.818
0.553	0.803
0.520	0.811
0.532	0.797
0.521	0.812
0.523	0.804
0.525	0.804
0.524	0.807
0.521	0.804
0.547	0.794
0.512	0.823
0.529	0.792
0.518	0.802
0.509	0.805
0.510	0.818
0.569	0.858
0.555	0.862
0.570	0.847
0.571	0.849
0.578	0.830
0.500	0.803
0.500	0.805
0.539	0.787
0.504	0.842
0.502	0.861
0.501	0.842
0.508	0.867
0.574	0.807
0.521	0.788
0.525	0.788
0.531	0.786
0.577	0.807
0.578	0.806
0.517	0.778
0.518	0.777
0.515	0.877
0.516	0.880
0.509	0.888
0.378	0.880
0.314	0.850
0.551	0.687
0.546	0.706
0.556	0.701
0.496	0.927
0.492	0.933
0.506	0.904
0.499	0.936
0.486	0.937
0.481	0.939
0.491	0.926
0.331	0.849
0.337	0.852
0.356	0.848
0.316	0.852
0.334	0.851
0.323	0.851
0.351	0.874
0.474	0.932
0.467	0.914
0.466	0.918
0.430	0.931
0.438	0.938
0.588	0.923
0.544	0.898
0.538	0.933
0.478	0.686
0.495	0.724
0.674	0.736
0.713	0.734
0.839	0.885
0.469	0.913
0.616	0.927
0.779	0.905
0.779	0.898
0.766	0.842
0.744	0.802
0.738	0.833
0.738	0.799
0.747	0.829
0.490	0.926
0.486	0.931
0.502	0.898
0.852	0.838
0.741	0.754
0.744	0.753
0.744	0.774
0.740	0.775
0.757	0.860
0.739	0.847
0.772	0.855
0.748	0.856
0.750	0.848
0.744	0.846
0.775	0.892
0.745	0.672
0.743	0.720
0.751	0.696
0.535	0.738
0.565	0.780
0.567	0.741
0.532	0.738
0.542	0.763
0.556	0.766
0.569	0.762
0.576	0.771
0.565	0.752
0.536	0.756
0.550	0.763
0.547	0.742
0.538	0.755
0.566	0.756
0.530	0.768
0.572	0.778
0.717	0.776
0.699	0.738
0.719	0.767
0.686	0.781
0.718	0.745
0.726	0.763
0.730	0.750
0.714	0.760
0.722	0.752
0.695	0.738
0.701	0.762
0.726	0.772
0.699	0.786
0.685	0.756
0.697	0.747
0.701	0.747
0.690	0.770
0.501	0.866
0.523	0.858
0.513	0.884
0.508	0.887
0.523	0.866
0.590	0.837
0.608	0.832
0.630	0.798
0.581	0.821
0.590	0.820
0.614	0.824
0.613	0.796
0.583	0.835
0.605	0.791
0.837	0.901
0.800	0.941
0.800	0.942
0.802	0.935
0.820	0.939
0.677	0.757
0.638	0.778
0.671	0.738
0.661	0.754
0.633	0.767
0.672	0.740
0.651	0.765
0.635	0.781
0.647	0.744
0.645	0.787
0.664	0.753
0.658	0.762
0.674	0.776
0.336	0.842
0.347	0.848
0.344	0.852
0.672	0.912
0.520	0.825
0.502	0.796
0.517	0.796
0.501	0.839
0.518	0.827
0.500	0.838
0.506	0.790
0.512	0.823
0.602	0.844
0.619	0.856
0.597	0.855
0.599	0.850
0.588	0.870
0.621	0.852
0.629	0.842
0.589	0.843
0.595	0.845
0.510	0.753
0.514	0.772
0.525	0.785
0.509	0.780
0.546	0.867
0.559	0.855
0.563	0.850
0.570	0.865
0.574	0.853
0.528	0.869
0.541	0.855
0.572	0.843
0.572	0.864
0.661	0.842
0.638	0.856
0.634	0.858
0.647	0.852
0.651	0.843
0.636	0.857
0.680	0.833
0.664	0.832
0.677	0.841
0.633	0.827
0.646	0.829
0.655	0.810
0.656	0.815
0.636	0.817
0.658	0.842
0.644	0.797
0.662	0.805
0.674	0.834
0.638	0.830
0.671	0.794
0.648	0.820
0.650	0.812
0.635	0.795
0.659	0.801
0.843	0.882
0.594	0.756
0.612	0.773
0.597	0.781
0.607	0.755
0.609	0.757
0.608	0.748
0.603	0.761
0.630	0.760
0.601	0.786
0.605	0.756
0.604	0.775
0.611	0.763
0.585	0.739
0.624	0.769
0.614	0.772
0.616	0.763
0.608	0.743
0.721	0.844
0.707	0.867
0.732	0.870
0.708	0.853
0.703	0.852
0.686	0.843
0.697	0.859
0.734	0.865
0.729	0.849
0.538	0.730
0.541	0.714
0.535	0.734
0.552	0.734
0.575	0.792
0.576	0.839
0.536	0.842
0.530	0.793
0.579	0.813
0.537	0.795
0.564	0.790
0.549	0.816
0.560	0.820
0.579	0.825
0.573	0.826
0.538	0.827
0.540	0.835
0.569	0.826
0.528	0.792
0.564	0.800
0.535	0.813
0.533	0.828
0.557	0.790
0.546	0.816
0.705	0.840
0.698	0.794
0.703	0.832
0.686	0.831
0.699	0.795
0.688	0.823
0.687	0.793
0.695	0.838
0.696	0.794
0.686	0.827
0.714	0.805
0.718	0.790
0.716	0.814
0.725	0.825
0.687	0.835
