#	f1	f2
0.101	0.599
0.126	0.617
0.101	0.621
0.091	0.609
0.096	0.619
0.091	0.576
0.123	0.618
0.086	0.625
0.081	0.578
0.118	0.603
0.093	0.598
0.119	0.575
0.112	0.595
0.098	0.593
0.090	0.592
0.119	0.582
0.089	0.597
0.077	0.606
0.087	0.607
0.072	0.592
0.111	0.597
0.097	0.609
0.111	0.625
0.110	0.617
0.100	0.628
0.096	0.603
0.106	0.579
0.083	0.593
0.115	0.603
0.102	0.597
0.088	0.596
0.103	0.603
0.086	0.586
0.090	0.618
0.089	0.648
0.087	0.631
0.118	0.644
0.121	0.641
0.119	0.638
0.107	0.645
0.085	0.633
0.114	0.641
0.093	0.642
0.114	0.558
0.062	0.576
0.107	0.563
0.079	0.550
0.105	0.552
0.069	0.591
0.087	0.555
0.082	0.546
0.063	0.575
0.102	0.547
0.098	0.559
0.102	0.555
0.117	0.564
0.080	0.558
0.111	0.566
0.087	0.566
0.064	0.582
0.104	0.566
0.106	0.565
0.062	0.566
0.139	0.616
0.096	0.506
0.084	0.512
0.104	0.514
0.120	0.521
0.099	0.517
0.091	0.480
0.118	0.520
0.098	0.485
0.120	0.510
0.099	0.517
0.085	0.525
0.077	0.491
0.085	0.515
0.077	0.529
0.098	0.496
0.083	0.481
0.104	0.523
0.094	0.518
0.111	0.522
0.094	0.510
0.084	0.498
0.082	0.493
0.103	0.512
0.115	0.495
0.105	0.507
0.093	0.528
0.092	0.534
0.102	0.496
0.103	0.538
0.119	0.538
0.122	0.536
0.102	0.546
0.078	0.544
0.115	0.479
0.101	0.469
0.085	0.472
0.127	0.479
0.119	0.554
0.123	0.549
0.103	0.394
0.110	0.374
0.087	0.401
0.090	0.388
0.113	0.378
0.094	0.402
0.121	0.401
0.114	0.399
0.101	0.370
0.089	0.420
0.129	0.394
0.118	0.401
0.101	0.410
0.076	0.390
0.091	0.396
0.104	0.364
0.091	0.401
0.122	0.377
0.076	0.397
0.129	0.404
0.079	0.396
0.084	0.392
0.112	0.365
0.103	0.387
0.087	0.405
0.125	0.374
0.092	0.392
0.088	0.373
0.112	0.417
0.100	0.391
0.108	0.409
0.074	0.374
0.073	0.421
0.087	0.430
0.101	0.425
0.094	0.431
0.088	0.423
0.073	0.378
0.075	0.370
0.141	0.369
0.123	0.367
0.126	0.371
0.104	0.357
0.110	0.349
0.118	0.356
0.102	0.430
0.122	0.425
0.074	0.358
0.083	0.354
0.095	0.434
0.102	0.440
0.101	0.439
0.129	0.430
0.091	0.314
0.091	0.320
0.095	0.288
0.089	0.292
0.115	0.301
0.119	0.321
0.075	0.314
0.093	0.314
0.093	0.316
0.091	0.298
0.096	0.310
0.073	0.323
0.086	0.329
0.098	0.339
0.112	0.332
0.095	0.326
0.099	0.338
0.098	0.311
0.084	0.307
0.084	0.315
0.085	0.293
0.107	0.311
0.093	0.309
0.109	0.330
0.105	0.326
0.115	0.310
0.072	0.340
0.087	0.271
0.120	0.296
0.093	0.268
0.089	0.272
0.083	0.269
0.091	0.277
0.102	0.278
0.099	0.277
0.118	0.288
0.119	0.269
0.110	0.261
0.084	0.271
0.075	0.266
0.124	0.309
0.128	0.274
0.125	0.311
0.127	0.301
0.117	0.339
0.140	0.494
0.128	0.465
0.129	0.446
0.126	0.471
0.127	0.445
0.129	0.650
0.107	0.652
0.071	0.672
0.087	0.650
0.145	0.427
0.144	0.548
0.179	0.556
0.044	0.312
0.046	0.301
0.044	0.284
0.050	0.393
0.051	0.412
0.046	0.425
0.029	0.401
0.055	0.436
0.001	0.591
0.023	0.605
0.059	0.530
0.043	0.518
0.026	0.545
0.059	0.536
0.016	0.442
0.031	0.496
0.057	0.489
0.051	0.372
0.047	0.325
0.041	0.685
