#	f1	f2
0.617	0.620
0.626	0.611
0.623	0.630
0.588	0.608
0.618	0.646
0.599	0.622
0.614	0.648
0.603	0.600
0.639	0.614
0.609	0.630
0.598	0.609
0.647	0.625
0.630	0.621
0.621	0.647
0.598	0.639
0.638	0.628
0.620	0.648
0.588	0.609
0.642	0.629
0.631	0.608
0.644	0.615
0.599	0.603
0.614	0.636
0.623	0.606
0.627	0.640
0.640	0.625
0.637	0.642
0.597	0.596
0.625	0.640
0.618	0.626
0.626	0.620
0.641	0.621
0.609	0.627
0.618	0.631
0.625	0.602
0.640	0.591
0.603	0.591
0.642	0.599
0.616	0.581
0.651	0.597
0.652	0.610
0.649	0.613
0.656	0.617
0.650	0.630
0.642	0.639
0.631	0.653
0.615	0.659
0.639	0.653
0.649	0.635
0.615	0.660
0.578	0.600
0.575	0.628
0.593	0.589
0.571	0.613
0.573	0.620
0.585	0.639
0.572	0.587
0.566	0.595
0.558	0.605
0.570	0.615
0.592	0.586
0.565	0.614
0.570	0.595
0.581	0.632
0.571	0.605
0.582	0.639
0.625	0.666
0.596	0.649
0.595	0.650
0.599	0.649
0.602	0.668
0.622	0.662
0.631	0.668
0.590	0.655
0.610	0.668
0.581	0.639
0.660	0.626
0.656	0.635
0.610	0.583
0.651	0.648
0.658	0.651
0.643	0.666
0.649	0.658
0.577	0.656
0.570	0.651
0.571	0.648
0.559	0.620
0.650	0.658
0.664	0.652
0.628	0.571
0.636	0.574
0.631	0.573
0.632	0.573
0.660	0.580
0.661	0.585
0.659	0.578
0.645	0.561
0.632	0.561
0.645	0.568
0.661	0.580
0.656	0.573
0.588	0.569
0.610	0.573
0.629	0.557
0.601	0.565
0.621	0.564
0.617	0.556
0.593	0.566
0.606	0.567
0.572	0.572
0.565	0.585
0.563	0.580
0.567	0.583
0.562	0.591
0.551	0.593
0.556	0.604
0.550	0.605
0.562	0.583
0.557	0.578
0.555	0.595
0.563	0.640
0.566	0.633
0.558	0.648
0.559	0.626
0.546	0.634
0.555	0.651
0.566	0.632
0.557	0.636
0.556	0.628
0.557	0.634
0.544	0.620
0.541	0.617
0.564	0.660
0.578	0.568
0.549	0.588
0.539	0.584
0.540	0.622
0.533	0.609
0.539	0.629
0.549	0.653
0.561	0.663
0.575	0.675
0.551	0.648
0.555	0.665
0.538	0.643
0.620	0.550
0.637	0.546
0.645	0.545
0.661	0.559
0.640	0.555
0.546	0.563
0.538	0.579
0.535	0.573
0.532	0.574
0.534	0.668
0.537	0.659
0.623	0.520
0.646	0.540
0.627	0.530
0.658	0.523
0.643	0.517
0.611	0.550
0.661	0.530
0.609	0.537
0.621	0.528
0.655	0.530
0.661	0.541
0.657	0.545
0.637	0.535
0.659	0.511
0.647	0.506
0.630	0.510
0.627	0.506
0.633	0.513
0.627	0.509
0.620	0.508
0.606	0.522
0.605	0.505
0.599	0.531
0.598	0.503
0.596	0.506
0.580	0.546
0.578	0.541
0.571	0.547
0.575	0.501
0.572	0.513
0.607	0.521
0.608	0.503
0.573	0.518
0.563	0.516
0.416	0.604
0.425	0.614
0.423	0.599
0.435	0.611
0.428	0.578
0.427	0.573
0.422	0.593
0.423	0.574
0.404	0.587
0.418	0.577
0.433	0.635
0.435	0.638
0.551	0.687
0.536	0.680
0.558	0.489
0.609	0.499
0.616	0.497
0.597	0.488
0.572	0.498
0.598	0.493
0.600	0.692
0.478	0.686
0.441	0.650
0.445	0.634
0.447	0.629
0.450	0.646
0.451	0.630
0.551	0.542
0.545	0.552
0.542	0.554
0.544	0.540
0.541	0.526
0.509	0.506
0.534	0.541
0.698	0.490
0.714	0.501
