#	f1	f2
0.361	0.769
0.351	0.787
0.350	0.780
0.359	0.794
0.340	0.757
0.365	0.749
0.363	0.790
0.362	0.788
0.338	0.775
0.380	0.764
0.340	0.782
0.382	0.757
0.370	0.791
0.362	0.757
0.337	0.766
0.343	0.758
0.367	0.778
0.356	0.744
0.349	0.769
0.351	0.786
0.379	0.781
0.350	0.756
0.350	0.784
0.359	0.777
0.352	0.762
0.368	0.779
0.352	0.786
0.360	0.745
0.351	0.759
0.363	0.760
0.351	0.770
0.370	0.762
0.358	0.774
0.372	0.773
0.372	0.795
0.355	0.793
0.330	0.782
0.340	0.808
0.350	0.802
0.368	0.797
0.351	0.799
0.336	0.800
0.370	0.799
0.328	0.785
0.367	0.798
0.332	0.793
0.350	0.796
0.340	0.795
0.371	0.800
0.358	0.809
0.337	0.794
0.363	0.817
0.371	0.812
0.373	0.807
0.382	0.784
0.328	0.752
0.328	0.741
0.318	0.749
0.334	0.736
0.337	0.748
0.342	0.750
0.351	0.736
0.329	0.758
0.322	0.774
0.336	0.733
0.318	0.761
0.329	0.764
0.320	0.761
0.317	0.763
0.316	0.772
0.315	0.770
0.316	0.777
0.316	0.779
0.382	0.740
0.387	0.760
0.404	0.767
0.386	0.749
0.391	0.785
0.391	0.756
0.388	0.779
0.396	0.766
0.387	0.752
0.393	0.786
0.399	0.764
0.390	0.756
0.382	0.749
0.393	0.762
0.321	0.799
0.382	0.733
0.402	0.750
0.380	0.739
0.386	0.736
0.405	0.754
0.377	0.739
0.387	0.735
0.405	0.751
0.388	0.798
0.363	0.734
0.344	0.732
0.379	0.819
0.387	0.815
0.376	0.818
0.313	0.790
0.306	0.785
0.324	0.802
0.349	0.825
0.334	0.819
0.398	0.805
0.389	0.819
0.383	0.825
0.367	0.830
0.398	0.805
0.389	0.820
0.339	0.718
0.352	0.723
0.330	0.727
0.339	0.729
0.327	0.730
0.311	0.741
0.327	0.723
0.345	0.717
0.352	0.731
0.347	0.724
0.325	0.737
0.307	0.752
0.309	0.767
0.298	0.782
0.304	0.771
0.297	0.776
0.295	0.749
0.304	0.756
0.293	0.770
0.297	0.788
0.295	0.790
0.306	0.800
0.293	0.788
0.300	0.799
0.391	0.724
0.370	0.732
0.375	0.721
0.376	0.731
0.385	0.718
0.406	0.747
0.376	0.732
0.367	0.721
0.404	0.740
0.391	0.728
0.374	0.724
0.383	0.718
0.410	0.751
0.413	0.766
0.412	0.772
0.410	0.747
0.414	0.782
0.409	0.784
0.408	0.790
0.405	0.783
0.409	0.748
0.429	0.770
0.422	0.771
0.414	0.758
0.417	0.745
0.409	0.790
0.425	0.754
0.418	0.755
0.419	0.774
0.416	0.779
0.426	0.773
0.408	0.738
0.373	0.711
0.360	0.724
0.400	0.716
0.422	0.738
0.414	0.732
0.426	0.741
0.426	0.748
0.416	0.728
0.394	0.836
0.402	0.827
0.400	0.812
0.403	0.813
0.392	0.831
0.360	0.835
0.358	0.833
0.403	0.824
0.401	0.816
0.362	0.833
0.396	0.822
0.400	0.832
0.389	0.835
0.397	0.824
0.386	0.831
0.401	0.821
0.384	0.844
0.399	0.837
0.403	0.804
0.398	0.793
0.296	0.807
0.292	0.789
0.287	0.776
0.293	0.801
0.283	0.785
0.294	0.799
0.291	0.798
0.283	0.784
0.300	0.803
0.410	0.801
0.411	0.824
0.417	0.805
0.402	0.840
0.387	0.848
0.375	0.845
0.383	0.847
0.388	0.845
0.287	0.762
0.287	0.763
0.278	0.779
0.276	0.772
0.281	0.768
0.281	0.782
0.275	0.754
0.271	0.765
0.268	0.771
0.272	0.767
0.269	0.767
0.273	0.797
0.303	0.812
0.283	0.808
0.301	0.814
0.299	0.814
0.273	0.800
0.298	0.815
0.305	0.819
0.321	0.817
0.426	0.733
0.411	0.718
0.424	0.786
0.434	0.764
0.429	0.778
0.435	0.778
0.421	0.793
0.424	0.790
0.426	0.792
0.427	0.729
0.426	0.728
0.429	0.802
0.439	0.786
0.433	0.795
0.438	0.783
0.438	0.783
0.448	0.772
0.444	0.781
0.441	0.756
0.440	0.773
0.451	0.758
0.447	0.764
0.432	0.732
0.441	0.747
0.428	0.727
0.448	0.744
0.427	0.721
0.443	0.724
0.441	0.729
0.416	0.709
0.419	0.712
0.449	0.743
0.450	0.750
0.419	0.706
0.426	0.707
0.409	0.706
0.413	0.845
0.398	0.846
0.394	0.849
0.363	0.841
0.420	0.850
0.292	0.826
0.296	0.829
0.279	0.817
0.293	0.826
0.273	0.803
0.268	0.783
0.265	0.776
0.264	0.791
0.262	0.782
0.435	0.799
0.433	0.809
0.253	0.777
0.253	0.776
0.265	0.763
0.261	0.755
0.267	0.753
0.251	0.777
0.268	0.747
0.268	0.746
0.267	0.742
0.249	0.756
0.307	0.831
0.320	0.823
0.323	0.825
0.439	0.714
0.443	0.800
0.437	0.805
0.436	0.798
0.441	0.794
0.435	0.812
0.448	0.804
0.449	0.718
0.443	0.820
0.443	0.811
0.439	0.821
0.247	0.796
0.249	0.799
0.250	0.790
0.250	0.794
0.252	0.800
0.239	0.780
0.246	0.797
0.249	0.749
0.449	0.820
0.450	0.820
0.449	0.827
0.430	0.828
0.212	0.687
0.191	0.688
0.221	0.685
0.232	0.697
0.206	0.701
0.192	0.679
0.231	0.695
0.212	0.711
0.214	0.703
0.221	0.702
0.221	0.710
0.204	0.698
0.222	0.707
0.231	0.703
0.195	0.694
0.223	0.666
0.223	0.696
0.223	0.681
0.228	0.683
0.224	0.706
0.223	0.685
0.206	0.698
0.209	0.695
0.209	0.693
0.183	0.685
0.186	0.684
0.188	0.710
0.183	0.680
0.188	0.703
0.183	0.701
0.182	0.678
0.233	0.702
0.229	0.667
0.234	0.705
0.226	0.663
0.242	0.672
0.219	0.661
0.232	0.669
0.218	0.716
0.228	0.715
0.238	0.716
0.222	0.717
0.239	0.708
0.232	0.711
0.193	0.714
0.204	0.723
0.208	0.718
0.209	0.721
0.198	0.716
0.200	0.721
0.210	0.721
0.201	0.726
0.186	0.716
0.213	0.736
0.233	0.728
0.242	0.721
0.246	0.723
0.184	0.716
0.211	0.657
0.210	0.648
0.226	0.650
0.230	0.654
0.237	0.655
0.224	0.645
0.234	0.650
0.236	0.645
0.235	0.659
0.219	0.646
0.195	0.733
0.187	0.733
0.249	0.725
0.230	0.640
0.194	0.658
0.197	0.658
0.207	0.642
0.216	0.639
0.210	0.637
0.223	0.637
0.206	0.640
0.214	0.739
0.204	0.737
0.229	0.735
0.232	0.739
0.256	0.720
0.251	0.732
0.239	0.738
0.200	0.737
0.199	0.749
0.185	0.744
