#	f1	f2
0.575	0.628
0.581	0.639
0.588	0.608
0.562	0.632
0.570	0.638
0.573	0.620
0.599	0.622
0.585	0.639
0.566	0.633
0.559	0.626
0.588	0.609
0.577	0.636
0.556	0.623
0.558	0.634
0.566	0.632
0.557	0.636
0.556	0.628
0.560	0.647
0.577	0.621
0.565	0.614
0.590	0.639
0.570	0.651
0.581	0.632
0.557	0.625
0.591	0.646
0.557	0.634
0.578	0.643
0.566	0.623
0.571	0.648
0.586	0.635
0.589	0.656
0.595	0.650
0.599	0.649
0.583	0.654
0.590	0.655
0.559	0.651
0.540	0.622
0.549	0.653
0.553	0.647
0.555	0.651
0.551	0.648
0.546	0.624
0.544	0.620
0.541	0.617
0.564	0.660
0.566	0.603
0.558	0.605
0.570	0.595
0.606	0.647
0.539	0.613
0.536	0.629
0.550	0.605
0.538	0.642
0.561	0.663
0.559	0.668
0.555	0.665
0.538	0.655
0.598	0.609
0.562	0.591
0.551	0.593
0.555	0.595
0.614	0.648
0.609	0.627
0.582	0.666
0.575	0.675
0.602	0.661
0.618	0.646
0.615	0.659
0.620	0.644
0.615	0.660
0.610	0.668
0.621	0.647
0.537	0.659
0.537	0.666
0.533	0.609
0.565	0.585
0.540	0.596
0.563	0.580
0.549	0.588
0.567	0.585
0.547	0.586
0.562	0.583
0.580	0.593
0.579	0.590
0.572	0.572
0.593	0.589
0.570	0.570
0.586	0.575
0.557	0.578
0.576	0.579
0.623	0.630
0.627	0.640
0.625	0.640
0.618	0.626
0.618	0.631
0.539	0.584
0.555	0.573
0.537	0.581
0.538	0.579
0.637	0.642
0.625	0.666
0.633	0.657
0.639	0.653
0.642	0.639
0.631	0.668
0.578	0.568
0.546	0.563
0.532	0.574
0.538	0.574
0.553	0.553
0.588	0.569
0.609	0.621
0.626	0.611
0.639	0.614
0.612	0.615
0.630	0.621
0.647	0.625
0.631	0.608
0.644	0.615
0.623	0.606
0.639	0.621
0.640	0.625
0.625	0.612
0.642	0.619
0.637	0.613
0.641	0.621
0.650	0.630
0.605	0.610
0.541	0.556
0.542	0.554
0.545	0.552
0.650	0.658
0.638	0.669
0.646	0.658
0.652	0.663
0.658	0.658
0.648	0.665
0.643	0.666
0.649	0.658
0.658	0.651
0.656	0.635
0.632	0.592
0.640	0.591
0.603	0.600
0.642	0.599
0.605	0.598
0.630	0.590
0.634	0.601
0.607	0.601
0.628	0.593
0.656	0.605
0.651	0.608
0.654	0.616
0.652	0.610
0.656	0.617
0.599	0.603
0.662	0.630
0.631	0.583
0.656	0.593
0.628	0.571
0.647	0.588
0.609	0.581
0.636	0.582
0.632	0.573
0.645	0.579
0.616	0.581
0.661	0.586
0.661	0.585
0.654	0.571
0.661	0.580
0.656	0.573
0.610	0.573
0.632	0.561
0.621	0.564
0.618	0.563
0.625	0.561
0.623	0.550
0.651	0.567
0.629	0.557
0.620	0.550
0.640	0.555
0.628	0.557
0.627	0.551
0.615	0.554
0.645	0.561
0.654	0.566
0.652	0.555
0.661	0.559
0.656	0.554
0.637	0.546
0.645	0.545
0.611	0.550
0.637	0.542
0.640	0.540
0.617	0.544
0.601	0.565
0.622	0.536
0.609	0.537
0.621	0.528
0.637	0.535
0.655	0.544
0.661	0.541
0.636	0.528
0.596	0.538
0.593	0.541
0.655	0.530
0.661	0.536
0.661	0.530
0.661	0.528
0.634	0.520
0.658	0.523
0.643	0.517
0.621	0.521
0.606	0.522
0.623	0.520
0.618	0.519
0.599	0.531
0.633	0.513
0.608	0.503
0.630	0.506
0.620	0.508
0.606	0.501
0.609	0.499
0.626	0.501
0.627	0.506
0.613	0.504
0.605	0.505
0.596	0.506
0.611	0.488
0.597	0.488
0.614	0.484
0.600	0.493
0.598	0.493
0.600	0.498
0.612	0.488
0.631	0.487
0.607	0.476
0.623	0.481
0.624	0.482
0.648	0.511
0.629	0.476
0.636	0.486
0.626	0.475
0.612	0.467
0.609	0.467
0.603	0.470
0.611	0.459
0.602	0.463
0.637	0.476
0.577	0.487
0.575	0.501
0.639	0.463
0.633	0.465
0.643	0.481
0.629	0.461
0.631	0.455
0.642	0.464
0.605	0.447
0.611	0.450
0.603	0.449
0.609	0.442
0.624	0.446
0.598	0.454
0.631	0.403
0.656	0.406
0.639	0.422
0.649	0.393
0.626	0.385
0.620	0.418
0.642	0.389
0.654	0.397
0.637	0.414
0.645	0.410
0.655	0.404
0.620	0.402
0.617	0.409
0.621	0.400
0.641	0.419
0.622	0.416
0.645	0.421
0.648	0.387
0.628	0.422
0.616	0.412
0.650	0.403
0.619	0.414
0.617	0.422
0.622	0.413
0.656	0.420
0.657	0.431
0.647	0.427
0.656	0.427
0.661	0.385
0.653	0.421
0.657	0.418
0.636	0.437
0.626	0.432
0.653	0.437
0.639	0.430
0.648	0.431
0.635	0.439
0.656	0.439
0.626	0.438
0.616	0.425
0.640	0.429
0.620	0.433
0.629	0.432
0.646	0.379
0.658	0.373
0.644	0.375
0.655	0.379
0.600	0.414
0.604	0.404
0.601	0.418
0.605	0.405
0.606	0.411
0.607	0.426
0.605	0.389
0.618	0.379
0.610	0.381
0.603	0.389
0.636	0.367
0.652	0.367
0.631	0.369
0.638	0.451
0.656	0.461
0.596	0.439
0.647	0.354
0.639	0.362
0.651	0.358
0.656	0.358
0.623	0.362
0.624	0.364
0.627	0.357
0.587	0.407
0.590	0.418
0.597	0.385
0.604	0.381
0.590	0.384
0.592	0.382
0.601	0.376
0.607	0.371
0.594	0.375
0.613	0.366
0.615	0.357
0.592	0.364
0.599	0.362
0.610	0.360
0.626	0.347
0.629	0.352
0.674	0.373
0.655	0.349
0.629	0.342
0.623	0.341
0.619	0.336
0.592	0.359
0.598	0.352
0.608	0.332
0.607	0.340
0.603	0.335
0.608	0.337
0.645	0.331
0.618	0.330
0.649	0.338
0.632	0.318
0.611	0.325
0.650	0.336
0.640	0.325
0.649	0.332
0.629	0.318
0.604	0.330
0.618	0.313
0.594	0.334
0.597	0.332
0.592	0.322
0.602	0.308
0.601	0.317
0.603	0.312
0.609	0.307
0.598	0.309
0.598	0.319
0.645	0.315
0.646	0.321
0.660	0.327
0.649	0.324
0.659	0.320
0.627	0.311
0.596	0.309
0.634	0.300
0.632	0.295
0.621	0.288
0.614	0.290
0.624	0.301
0.603	0.294
0.630	0.296
0.655	0.300
0.671	0.312
0.624	0.276
0.624	0.282
0.627	0.276
0.642	0.280
0.624	0.281
0.657	0.292
0.636	0.279
0.625	0.272
0.624	0.285
0.621	0.282
0.619	0.280
0.631	0.271
0.653	0.296
0.615	0.269
0.621	0.272
0.615	0.271
0.615	0.272
0.646	0.266
0.646	0.267
0.650	0.268
0.655	0.268
0.653	0.279
0.616	0.251
0.613	0.250
0.624	0.245
0.500	0.400
0.558	0.489
0.541	0.526
0.572	0.498
0.563	0.516
0.574	0.500
0.572	0.494
0.716	0.364
0.721	0.366
0.688	0.350
0.732	0.481
0.714	0.501
0.716	0.524
0.732	0.508
0.731	0.507
0.724	0.490
0.730	0.465
0.729	0.442
0.730	0.432
0.693	0.436
0.730	0.468
0.730	0.472
0.692	0.554
0.721	0.405
0.724	0.405
0.709	0.411
0.722	0.397
0.477	0.545
0.509	0.554
0.509	0.506
0.507	0.481
0.507	0.636
0.717	0.419
0.698	0.490
0.726	0.484
0.731	0.495
0.659	0.511
0.647	0.506
0.641	0.478
0.643	0.487
0.640	0.520
0.607	0.261
0.609	0.262
0.613	0.255
0.729	0.461
0.723	0.449
0.725	0.446
0.630	0.510
0.598	0.503
0.616	0.497
0.607	0.521
0.627	0.509
0.581	0.486
0.597	0.507
0.615	0.495
0.609	0.501
0.602	0.505
0.615	0.477
0.617	0.497
0.627	0.501
0.638	0.628
0.651	0.597
0.660	0.626
0.649	0.613
0.660	0.580
0.642	0.629
0.654	0.581
0.646	0.618
0.646	0.631
0.633	0.609
0.643	0.607
0.640	0.594
0.636	0.574
0.657	0.545
0.659	0.578
0.646	0.540
0.645	0.568
0.644	0.542
0.639	0.552
0.632	0.578
0.645	0.547
0.657	0.565
0.647	0.564
0.649	0.555
0.572	0.513
0.573	0.518
0.548	0.489
0.651	0.648
0.664	0.652
0.649	0.635
0.651	0.657
0.638	0.661
0.641	0.632
0.636	0.634
0.622	0.662
0.582	0.639
0.614	0.636
0.602	0.668
0.620	0.648
0.598	0.639
0.631	0.653
0.596	0.649
0.621	0.658
0.620	0.634
0.613	0.653
0.586	0.662
0.536	0.680
0.563	0.640
0.534	0.668
0.546	0.634
0.558	0.648
0.538	0.643
0.577	0.656
0.553	0.659
0.551	0.675
0.548	0.649
0.548	0.653
0.569	0.663
0.626	0.297
0.596	0.269
0.613	0.302
0.604	0.277
0.602	0.298
0.613	0.268
0.621	0.270
0.627	0.296
0.603	0.308
0.607	0.310
0.624	0.296
0.604	0.274
0.617	0.453
0.596	0.450
0.584	0.422
0.603	0.436
0.608	0.457
0.627	0.460
0.618	0.425
0.614	0.447
0.605	0.467
0.602	0.448
0.623	0.454
0.597	0.596
0.603	0.591
0.625	0.602
0.617	0.620
0.592	0.586
0.609	0.630
0.610	0.583
0.626	0.620
0.596	0.607
0.618	0.583
0.585	0.597
0.597	0.630
0.615	0.591
0.606	0.567
