#	f1	f2
0.409	0.382
0.400	0.385
0.424	0.377
0.437	0.380
0.422	0.373
0.406	0.398
0.420	0.360
0.414	0.409
0.419	0.356
0.430	0.374
0.436	0.394
0.418	0.407
0.393	0.401
0.410	0.398
0.423	0.407
0.414	0.371
0.395	0.394
0.431	0.363
0.395	0.392
0.396	0.398
0.398	0.399
0.392	0.402
0.423	0.377
0.398	0.390
0.450	0.372
0.436	0.362
0.439	0.391
0.443	0.396
0.435	0.360
0.430	0.406
0.446	0.379
0.441	0.381
0.439	0.363
0.439	0.400
0.447	0.400
0.450	0.360
0.421	0.415
0.416	0.413
0.403	0.425
0.415	0.425
0.426	0.411
0.429	0.428
0.431	0.425
0.440	0.412
0.431	0.422
0.420	0.438
0.405	0.438
0.430	0.432
0.421	0.426
0.421	0.437
0.438	0.437
0.402	0.454
0.418	0.446
0.405	0.452
0.397	0.452
0.428	0.449
0.419	0.453
0.419	0.455
0.440	0.455
0.447	0.435
0.421	0.460
0.443	0.458
0.402	0.456
0.413	0.467
0.439	0.467
0.435	0.474
0.427	0.481
0.436	0.476
0.411	0.477
0.431	0.485
0.434	0.488
0.398	0.479
0.408	0.492
0.396	0.479
0.451	0.490
0.434	0.511
0.450	0.496
0.419	0.508
0.446	0.496
0.444	0.500
0.443	0.492
0.431	0.494
0.422	0.320
0.396	0.304
0.432	0.312
0.418	0.326
0.424	0.323
0.424	0.339
0.443	0.311
0.438	0.329
0.438	0.335
0.433	0.301
0.418	0.327
0.416	0.299
0.414	0.300
0.399	0.325
0.402	0.305
0.401	0.308
0.406	0.340
0.413	0.341
0.435	0.319
0.412	0.306
0.444	0.314
0.439	0.296
0.417	0.311
0.444	0.329
0.397	0.325
0.400	0.312
0.438	0.287
0.440	0.293
0.438	0.288
0.452	0.331
0.394	0.343
0.398	0.348
0.395	0.350
0.451	0.286
0.418	0.284
0.396	0.299
0.385	0.341
0.384	0.320
0.387	0.321
0.380	0.308
0.384	0.287
0.397	0.579
0.414	0.565
0.409	0.568
0.401	0.580
0.515	0.463
0.501	0.465
0.396	0.524
0.409	0.532
0.407	0.515
0.410	0.525
0.422	0.538
0.421	0.536
0.427	0.545
0.429	0.532
0.427	0.526
0.426	0.517
0.428	0.558
0.404	0.534
0.399	0.502
