#	f1	f2
0.239	0.150
0.217	0.147
0.238	0.153
0.242	0.163
0.233	0.147
0.242	0.135
0.242	0.171
0.223	0.146
0.216	0.159
0.262	0.156
0.233	0.136
0.234	0.165
0.230	0.133
0.231	0.150
0.249	0.145
0.243	0.137
0.243	0.162
0.223	0.148
0.246	0.153
0.238	0.170
0.239	0.164
0.237	0.133
0.242	0.136
0.246	0.155
0.244	0.156
0.228	0.149
0.257	0.161
0.231	0.141
0.241	0.149
0.239	0.128
0.251	0.129
0.219	0.165
0.247	0.128
0.240	0.174
0.254	0.132
0.253	0.156
0.224	0.163
0.220	0.135
0.256	0.161
0.209	0.129
0.208	0.135
0.215	0.137
0.205	0.165
0.201	0.154
0.199	0.139
0.200	0.165
0.196	0.144
0.212	0.165
0.208	0.138
0.253	0.173
0.225	0.172
0.266	0.169
0.250	0.184
0.241	0.182
0.257	0.172
0.251	0.183
0.261	0.120
0.240	0.110
0.235	0.114
0.232	0.121
0.264	0.140
0.248	0.122
0.259	0.130
0.265	0.146
0.252	0.116
0.241	0.112
0.248	0.126
0.265	0.179
0.264	0.183
0.226	0.188
0.232	0.191
0.225	0.184
0.265	0.176
0.263	0.180
0.241	0.193
0.228	0.189
0.214	0.177
0.216	0.174
0.192	0.158
0.197	0.169
0.204	0.179
0.214	0.174
0.197	0.164
0.209	0.178
0.218	0.185
0.222	0.111
0.229	0.110
0.211	0.121
0.267	0.129
0.275	0.146
0.232	0.105
0.227	0.107
0.271	0.128
0.268	0.110
0.273	0.120
0.272	0.118
0.274	0.124
0.262	0.108
0.208	0.188
0.214	0.190
0.217	0.189
0.255	0.194
0.237	0.200
0.187	0.164
0.194	0.176
0.193	0.172
0.177	0.160
0.180	0.157
0.188	0.187
0.179	0.152
0.179	0.174
0.179	0.162
0.181	0.149
0.177	0.174
0.255	0.196
0.214	0.194
0.270	0.195
0.270	0.199
0.257	0.207
0.257	0.206
0.228	0.198
0.223	0.200
0.279	0.180
0.276	0.103
0.274	0.101
0.272	0.099
0.276	0.115
0.273	0.107
0.261	0.103
0.267	0.100
0.215	0.105
0.223	0.097
0.237	0.100
0.229	0.099
0.238	0.096
0.278	0.145
0.243	0.087
0.226	0.206
0.219	0.211
0.218	0.203
0.202	0.192
0.223	0.211
0.210	0.202
0.230	0.216
0.190	0.138
0.170	0.161
0.187	0.142
0.175	0.150
0.171	0.155
0.175	0.174
0.183	0.188
0.186	0.191
0.196	0.198
0.190	0.198
0.267	0.091
0.267	0.087
0.280	0.101
0.274	0.088
0.287	0.107
0.266	0.092
0.284	0.092
0.295	0.113
0.293	0.121
0.288	0.132
0.205	0.209
0.211	0.213
0.165	0.151
0.164	0.161
0.169	0.175
0.172	0.183
0.183	0.197
0.172	0.139
0.160	0.159
0.171	0.142
0.166	0.144
0.177	0.129
0.181	0.128
0.157	0.180
0.162	0.193
0.181	0.199
0.189	0.125
0.169	0.198
0.220	0.218
0.218	0.218
0.250	0.210
0.291	0.184
0.292	0.187
0.296	0.177
0.292	0.201
0.303	0.183
0.294	0.198
0.292	0.177
0.296	0.193
0.285	0.157
0.296	0.176
0.281	0.196
0.284	0.174
0.279	0.189
0.275	0.204
0.284	0.177
0.292	0.191
0.298	0.196
0.283	0.173
0.293	0.095
0.286	0.090
0.274	0.084
0.272	0.084
0.286	0.084
0.290	0.086
0.194	0.213
0.149	0.165
0.149	0.171
0.153	0.140
0.149	0.146
0.160	0.194
0.246	0.080
0.246	0.084
0.300	0.091
0.302	0.106
0.296	0.085
0.307	0.098
0.140	0.152
0.146	0.170
0.144	0.161
0.144	0.165
0.147	0.136
0.147	0.133
0.167	0.119
0.161	0.125
0.170	0.124
0.151	0.135
0.312	0.180
0.303	0.170
0.313	0.178
0.299	0.199
0.310	0.174
0.312	0.199
0.315	0.194
0.300	0.157
0.317	0.189
0.310	0.163
0.311	0.161
0.317	0.165
0.308	0.207
0.323	0.196
0.313	0.203
0.293	0.222
0.305	0.216
0.276	0.213
0.288	0.223
0.275	0.210
0.286	0.222
0.289	0.151
0.265	0.210
0.265	0.208
0.125	0.170
0.142	0.136
0.136	0.160
0.136	0.133
0.131	0.130
0.128	0.163
0.127	0.136
0.121	0.167
0.130	0.152
0.140	0.176
0.128	0.151
0.132	0.152
0.131	0.168
0.135	0.142
0.136	0.131
0.142	0.185
0.124	0.174
0.133	0.178
0.132	0.186
0.127	0.180
0.159	0.118
0.145	0.117
0.154	0.114
0.127	0.120
0.130	0.121
0.132	0.116
0.134	0.125
0.142	0.120
0.123	0.124
0.319	0.213
0.315	0.216
0.319	0.219
0.332	0.199
0.333	0.203
0.315	0.221
0.335	0.210
0.334	0.210
0.325	0.213
0.330	0.209
0.329	0.212
0.102	0.168
0.111	0.167
0.115	0.188
0.123	0.186
0.113	0.148
0.129	0.194
0.116	0.177
0.110	0.174
0.118	0.169
0.107	0.168
0.122	0.189
0.132	0.193
0.119	0.131
0.117	0.127
0.125	0.116
0.112	0.112
0.128	0.108
0.110	0.124
0.105	0.138
0.104	0.130
0.151	0.192
0.153	0.190
0.129	0.199
0.144	0.207
0.136	0.202
0.146	0.203
0.151	0.200
0.145	0.201
0.150	0.202
0.120	0.204
0.125	0.205
0.146	0.100
0.165	0.106
0.141	0.094
0.136	0.102
0.133	0.102
0.155	0.105
0.157	0.104
0.102	0.120
0.117	0.099
0.112	0.101
0.106	0.112
0.113	0.111
0.100	0.126
0.340	0.202
0.307	0.233
0.332	0.222
0.322	0.233
0.299	0.228
0.339	0.183
0.330	0.178
0.347	0.216
0.338	0.179
0.347	0.224
0.347	0.198
0.341	0.193
0.344	0.229
0.101	0.195
0.118	0.211
0.105	0.196
0.101	0.187
0.094	0.190
0.096	0.193
0.095	0.163
0.099	0.112
0.113	0.095
0.122	0.092
0.168	0.087
0.186	0.094
0.186	0.115
0.190	0.113
0.155	0.092
0.161	0.094
0.169	0.084
0.153	0.092
0.168	0.087
0.178	0.090
0.170	0.099
0.176	0.097
0.166	0.092
0.171	0.116
0.174	0.108
0.188	0.102
0.162	0.089
0.140	0.084
0.139	0.088
0.076	0.187
0.073	0.199
0.086	0.210
0.075	0.194
0.080	0.186
0.094	0.207
0.082	0.201
0.101	0.211
0.080	0.192
0.082	0.185
0.073	0.180
0.078	0.189
0.093	0.214
0.080	0.176
0.091	0.166
0.100	0.208
0.082	0.194
0.081	0.185
0.086	0.213
0.100	0.205
0.193	0.097
0.186	0.084
0.189	0.095
0.193	0.097
0.194	0.090
0.076	0.229
0.076	0.216
0.072	0.226
0.074	0.213
0.077	0.228
0.078	0.214
0.080	0.217
0.075	0.220
0.073	0.225
0.080	0.228
0.090	0.223
0.098	0.220
0.086	0.218
0.115	0.220
0.112	0.226
0.112	0.229
0.115	0.232
0.107	0.230
0.124	0.220
0.112	0.234
0.067	0.228
0.093	0.243
0.074	0.248
0.096	0.245
0.077	0.254
0.102	0.239
0.105	0.244
0.125	0.230
0.116	0.240
0.122	0.232
0.109	0.243
0.102	0.248
0.298	0.462
0.308	0.450
0.317	0.455
0.303	0.461
0.300	0.444
0.306	0.437
0.284	0.447
0.299	0.443
0.314	0.474
0.315	0.456
0.295	0.455
0.301	0.463
0.295	0.446
0.315	0.461
0.299	0.452
0.293	0.449
0.313	0.463
0.299	0.466
0.307	0.485
0.310	0.477
0.283	0.478
0.299	0.442
0.304	0.439
0.305	0.440
0.307	0.450
0.295	0.465
0.288	0.451
0.316	0.426
0.334	0.449
0.311	0.439
0.288	0.434
0.316	0.430
0.323	0.440
0.327	0.467
0.326	0.451
0.328	0.447
0.331	0.437
0.318	0.434
0.315	0.442
0.332	0.455
0.324	0.433
0.334	0.466
0.334	0.458
0.329	0.472
0.322	0.474
0.340	0.447
0.341	0.451
0.332	0.474
0.323	0.478
0.334	0.440
0.338	0.446
0.294	0.421
0.310	0.424
0.290	0.429
0.284	0.427
0.306	0.414
0.318	0.420
0.325	0.421
0.310	0.417
0.319	0.417
0.300	0.493
0.301	0.492
0.331	0.489
0.307	0.496
0.296	0.492
0.319	0.484
0.328	0.496
0.304	0.502
0.311	0.505
0.323	0.504
0.286	0.497
0.285	0.492
0.312	0.411
0.309	0.405
0.318	0.402
0.324	0.418
0.335	0.417
0.321	0.416
0.317	0.407
0.310	0.411
0.338	0.414
0.344	0.430
0.347	0.456
0.342	0.433
0.284	0.412
0.281	0.410
0.345	0.480
0.344	0.487
0.338	0.495
0.347	0.494
0.293	0.405
0.295	0.409
0.288	0.402
0.285	0.409
0.327	0.402
0.304	0.392
0.325	0.397
0.341	0.413
0.339	0.409
0.341	0.407
0.339	0.402
0.312	0.514
0.317	0.509
0.289	0.513
0.299	0.518
0.339	0.499
0.337	0.508
0.309	0.521
0.317	0.514
0.334	0.517
0.331	0.521
0.299	0.526
0.306	0.525
0.315	0.521
0.304	0.524
0.325	0.521
0.315	0.386
0.317	0.382
0.291	0.393
0.296	0.383
0.343	0.401
0.335	0.391
0.337	0.395
0.328	0.381
0.284	0.383
0.340	0.383
0.345	0.389
0.286	0.378
0.299	0.375
0.306	0.374
0.306	0.370
0.331	0.373
0.321	0.537
0.321	0.532
0.313	0.535
0.285	0.538
0.287	0.522
0.287	0.528
0.284	0.530
0.287	0.524
0.330	0.537
0.332	0.536
0.335	0.533
0.344	0.534
0.347	0.526
0.340	0.536
0.349	0.523
0.291	0.548
0.301	0.548
0.309	0.550
0.312	0.365
0.325	0.369
0.313	0.363
0.324	0.363
0.318	0.366
0.318	0.363
0.318	0.365
0.315	0.361
0.315	0.361
0.347	0.367
0.322	0.356
0.347	0.365
0.297	0.366
0.295	0.361
0.282	0.362
0.302	0.352
0.282	0.375
0.286	0.353
0.300	0.359
0.313	0.346
0.308	0.345
0.323	0.355
0.300	0.346
0.339	0.356
0.336	0.355
0.349	0.354
0.339	0.552
0.338	0.550
0.335	0.553
0.301	0.552
0.328	0.560
0.315	0.558
0.340	0.552
0.349	0.549
0.345	0.556
0.339	0.562
0.315	0.340
0.308	0.344
0.298	0.345
0.328	0.347
0.329	0.343
0.310	0.336
0.331	0.333
0.283	0.354
0.291	0.343
0.296	0.336
0.288	0.331
0.286	0.333
0.302	0.330
0.267	0.364
0.324	0.325
0.322	0.327
0.323	0.322
0.340	0.336
0.287	0.325
0.294	0.322
0.345	0.333
0.341	0.332
0.346	0.337
0.321	0.565
0.326	0.568
0.347	0.566
0.344	0.564
0.327	0.565
0.326	0.572
0.354	0.568
0.325	0.571
0.347	0.572
0.322	0.575
0.319	0.570
0.321	0.583
0.313	0.567
0.316	0.575
0.342	0.582
0.315	0.574
0.309	0.566
0.311	0.569
0.294	0.569
0.303	0.579
0.300	0.578
0.300	0.565
0.339	0.585
0.309	0.319
0.336	0.326
0.333	0.322
0.322	0.312
0.340	0.318
0.338	0.312
0.336	0.312
0.324	0.309
0.332	0.317
0.297	0.306
0.303	0.306
0.292	0.310
0.292	0.308
0.293	0.307
0.331	0.305
0.342	0.307
0.322	0.302
0.320	0.300
0.343	0.308
0.286	0.304
0.299	0.299
0.299	0.302
0.293	0.302
0.341	0.589
0.314	0.591
0.324	0.597
0.299	0.578
0.325	0.600
0.313	0.596
0.304	0.598
0.318	0.607
0.311	0.606
0.300	0.597
0.292	0.574
0.289	0.580
0.284	0.564
0.289	0.586
0.282	0.572
0.281	0.589
0.282	0.578
0.292	0.589
0.290	0.592
0.278	0.570
0.291	0.586
0.283	0.572
0.300	0.600
0.298	0.297
0.317	0.287
0.324	0.293
0.318	0.291
0.347	0.292
0.301	0.284
0.286	0.293
0.284	0.288
0.285	0.285
0.297	0.292
0.304	0.291
0.324	0.281
0.328	0.282
0.366	0.303
0.315	0.281
0.268	0.289
0.293	0.280
0.267	0.296
0.266	0.309
0.261	0.306
0.300	0.274
0.324	0.614
0.300	0.605
0.320	0.613
0.316	0.613
0.337	0.605
0.338	0.616
0.335	0.620
